id,molecule_name,energy,trotter_steps,threshold_gamma,max_evals,optimal_parameters
0,LiH,-8.86918642290136,1,1.0,1000,"[3.6806189080356653, 1.7607373265865327, 1.8112401678486825]"
1,LiH,-8.856686694229522,1,0.0,1000,"[-6.642216777699862, -5.328469669974996e-08, 2.448762213267964]"
2,LiH,-8.864134090152556,1,0.2020430394141467,1000,"[3.020170440791767, 1.071311812596015, 1.3263017982189047]"
3,LiH,-8.864493956762885,1,0.3341988655990424,1000,"[3.0888535971219344, 1.2177776022728835, 1.378834462605202]"
4,LiH,-8.86871400210056,1,0.5040626061734105,1000,"[3.43983695703946, 1.4815686630641398, 1.786647912500225]"
5,LiH,-8.868078744733403,1,0.6737979895480548,1000,"[3.611535963352156, 1.4192676651936131, 1.66528908784759]"
6,LiH,-8.86900737814533,1,0.834563890024383,1000,"[3.64208288552838, 1.691516151719648, 1.730769626703049]"
7,LiH,-8.856660222127628,1,0.1749514826648067,1000,"[1.5219844653260197, 0.10679797816709771, 0.13997223575638418]"
8,LiH,-8.864493956762896,1,0.3341988655991426,1000,"[3.0888504128692404, 1.217777441895369, 1.3788345131434032]"
9,LiH,-8.868714002100521,1,0.5040626061734409,1000,"[3.439837752733934, 1.4815684917661116, 1.786647912500225]"
10,LiH,-8.868463745556857,1,0.6699381986617193,1000,"[3.5711685133033972, 1.4908410366004383, 1.7460777461877561]"
11,LiH,-8.869010130687649,1,0.8345638900244244,1000,"[3.6413634699814885, 1.691918632469224, 1.7313197852319329]"
12,LiH,-8.856660222127651,1,0.1749514826647289,1000,"[1.5219844653260197, 0.10679797816709771, 0.13997223575638418]"
13,LiH,-8.864493956762882,1,0.334198865599068,1000,"[3.088850089041932, 1.2177773329337929, 1.3788343547728492]"
14,LiH,-8.868714002100521,1,0.5040626061734169,1000,"[3.4398384127503134, 1.4815681609912725, 1.7866475406635431]"
15,LiH,-8.868461469532923,1,0.6699381986617137,1000,"[3.5711243692657235, 1.490448268619339, 1.7455642975242662]"
16,LiH,-8.869007378145358,1,0.8345638900243942,1000,"[3.6420779172318944, 1.691513321357907, 1.7307662637013963]"
17,LiH,-8.856686693798158,1,0.0302969285673209,1000,"[-1.7578594198457944, -0.0001591431788491784, -0.00041719792348427626]"
18,LiH,-8.856686685604823,1,0.0605938571346418,1000,"[1.759753836175387, 0.0029417855146590234, 0.003602303324565726]"
19,LiH,-8.856686694229436,1,0.147178153291587,1000,"[5.628270426494776, -9.985133638766293e-07, -7.83319656834659e-07]"
20,LiH,-8.856660222127637,1,0.1749514826646896,1000,"[1.5219844653260197, 0.10679797816709771, 0.13997223575638418]"
