molecule_name,energy,trotter_steps,threshold_gamma,optimal_parameters
CH_2,-1.1038687393485458,1,1.0,"[1.5839855437068382, 1.0911693164437661, 1.3387737417278247]"
CH_2,-1.0703007204603998,1,0.0,"[-6.284018340017248, -7.77996286099113e-08, 1.7819846797137135]"
CH_2,-1.104566455168004,2,1.0,"[6.863576799140701, -4.056122674016242, 0.49854934611249846, 1.0538012933169978, 1.2567006903628006, 1.5220120320762383]"
CH_2,-1.104566455165936,3,1.0,"[1.350451741947269, 3.1100860767557315, 1.742785354416379, 0.286480626030163, 5.611607867755884, -2.085413749970277, -0.5205875639902982, 3.75686101704602, 1.014844732743126]"
CH_2,-1.1044701394836376,1,0.2311919861061377,"[4.048783401384715, 0.17934534065431312, 1.3737564162782347]"
CH_2,-1.1044701394836411,1,0.4623839722122754,"[4.048783338030802, 0.17934526279465546, 1.373756527469733]"
CH_2,-1.103655536692501,1,0.6241112411706187,"[1.1534423710972725, 0.4970069138965574, 1.341038948451315]"
CH_2,-1.1044598255962852,1,0.785838510128962,"[1.650105677183785, 1.174028803653318, 1.3691297103970719]"
CH_2,-1.1029099328658345,1,0.892919255064481,"[1.5466086684669873, 0.9874472196833861, 1.2899013867376066]"
CH_2,-1.0715026900468485,2,0.0,"[8.059482990295503, 6.315011084684432, 2.4594026628644716, 2.3685782653049037, 1.8295588118725894, 2.2619168237916485]"
CH_2,-1.1045664551679952,2,0.2311919861061377,"[6.61686078793121, -4.068361138326937, 0.5681219474868251, 0.8964635212317422, 0.8879513596538203, 1.8804885203996413]"
CH_2,-1.104566455167887,2,0.4623839722122754,"[6.245238027435547, -3.8522056959857833, 0.6282523419420762, 0.9160817021206112, 1.2378516874311525, 1.5995891940658877]"
CH_2,-1.1045660872411185,2,0.6241112411706187,"[7.048909136632423, -4.386787824671855, 0.4118986981103124, 0.8150370146108994, 1.4165766040461514, 1.4383667347204439]"
CH_2,-1.104566455168002,2,0.785838510128962,"[6.460868237825794, -3.9435692075850866, 0.5342415679688267, 0.9752039640743844, 1.3224481343974597, 1.4691929441457283]"
CH_2,-1.104561243373002,2,0.892919255064481,"[6.5807893338756465, -3.9503127572988257, 0.4992949921638334, 0.9656085443203708, 1.2748816877421707, 1.4877672165296947]"
CH_2,-1.0703092588965295,3,0.0,"[9.42477796076938, 9.42477796076938, -1.3733706662164678, -0.6970811256117433, 0.4816172260464575, 1.185208357506602, 1.3286304011255283, 3.6618935249195648, 2.189540793631786]"
CH_2,-1.104566455167994,3,0.2311919861061377,"[0.9507825173456734, 1.4920402680244162, 1.4602124414851794, -0.4699963146928422, 1.8508153715635332, -1.9823761309695724, -2.096095435798561, 4.0323047834138865, 1.2338404280798432]"
CH_2,-1.1045664551679837,3,0.4623839722122754,"[0.788388824891356, 1.0345195632726247, 2.4036612511756887, -0.3967786901653986, 1.3588274959260445, -1.5235022939885474, -4.340830779682189, 3.6342411575544045, 3.093725863345365]"
CH_2,-1.1041609688502083,3,0.6241112411706187,"[1.7024522150724901, 2.0010352583759903, 1.9305811824833183, -1.0840735667332755, 2.90917573243044, -1.7020773246914511, -1.7063988204769696, 3.034647659594184, 0.5489246235930321]"
CH_2,-1.1045664551679588,3,0.785838510128962,"[0.8329273811403695, 2.6023799703570454, 1.7270542084746041, 0.22003429399921182, 2.9649245031513916, -0.5816484168838425, -2.911563045641553, 5.627470627345909, 1.000772428770685]"
